subject_area,subject,boys,girls,perc_achieved_as_c_boys,perc_achieved_as_c_girls,perc_achieved_as_g_boys,perc_achieved_as_g_girls
General,Any Subject,314800.0,304900.0,82,88,99,99
General,English & Mathematics,269100.0,270300.0,59,69,98,99
General,Mathematics & Science,232600.0,234200.0,69,72,99,99
General,"English, Mathematics & Science",215600.0,221700.0,62,71,99,99
English,Any English,274700.0,276100.0,63,78,99,100
English,English,86900.0,59700.0,33,45,98,99
English,English Language4,187800.0,216400.0,77,87,100,100
Mathematics,Mathematics,297300.0,290500.0,72,73,98,98
Science,Any Science,239400.0,240900.0,71,76,99,99
Science,Core Science,158400.0,163600.0,57,63,98,99
Science,Additional Science,119600.0,128900.0,62,68,99,99
Science,Additional Applied Science,5700.0,6100.0,27,38,96,98
Science,Physics,76200.0,73200.0,91,92,100,100
Science,Chemistry,77100.0,73600.0,90,92,100,100
Science,Biological Sciences,77700.0,74800.0,90,93,100,100
Science,Other Sciences5,4200.0,2500.0,63,58,97,98
Design & Technology,Any Design & Technology,111700.0,84100.0,56,73,98,99
Design & Technology,D & T: Electronic Products,7900.0,600.0,64,82,97,99
Design & Technology,D & T: Food Technology,16100.0,27300.0,49,71,98,99
Design & Technology,D & T: Graphic Products,22200.0,14000.0,51,72,97,99
Design & Technology,D & T: Resistant Materials,44900.0,7600.0,56,73,98,99
Design & Technology,D & T: Systems & Control,3300.0,200.0,63,79,98,100
Design & Technology,D & T: Textiles Technology,800.0,27000.0,39,75,96,99
Design & Technology,Other Design and Technology6,23400.0,10400.0,54,72,98,99
Design & Technology,Applied Engineering,2000.0,200.0,41,63,97,99
Design & Technology,Information Technology7,33200.0,24300.0,70,77,98,99
Design & Technology,Business Studies,38400.0,26100.0,66,70,99,99
Design & Technology,Applied Business,2900.0,1800.0,58,68,95,98
Design & Technology,Home Economics,3700.0,22000.0,46,59,98,98
Geography and History,Geography,107300.0,93000.0,65,74,99,99
Geography and History,History,115800.0,118900.0,65,73,98,99
Geography and History,Humanities,6300.0,6100.0,40,50,95,97
Geography and History,Economics,3000.0,1300.0,80,80,99,98
Geography and History,Social Studies,15000.0,27300.0,57,70,97,99
Modern Languages,Any Modern Language,133700.0,167800.0,66,76,99,100
Modern Languages,Arabic,1200.0,1500.0,75,79,96,97
Modern Languages,Chinese,1200.0,1100.0,95,98,100,100
Modern Languages,French,69000.0,92900.0,64,75,99,100
Modern Languages,German,28900.0,31400.0,70,80,100,100
Modern Languages,Italian,1800.0,2300.0,87,90,99,100
Modern Languages,Polish,1500.0,1500.0,93,96,99,100
Modern Languages,Spanish,35300.0,47400.0,66,76,99,99
Modern Languages,Urdu,1500.0,2600.0,69,79,99,100
Modern Languages,Other Modern Languages,4400.0,4800.0,86,91,99,99
Classical Studies,Any Classical Study,6900.0,7100.0,87,89,99,100
Classical Studies,Classical Civilisation,2000.0,1800.0,80,85,99,100
Classical Studies,Classical Greek,700.0,400.0,97,98,100,100
Classical Studies,Latin,4300.0,4700.0,92,93,99,100
Classical Studies,Other Classical Studies,600.0,700.0,72,77,96,98
Other,Applied Art and Design,400.0,700.0,57,80,99,99
Other,Applied Physical Education,NA,NA,NA,NA,NA,NA
Other,Art and Design,52200.0,104200.0,65,83,98,99
Other,Communication Studies,4100.0,4900.0,49,71,97,99
Other,Construction,0.0,0.0,51,0,98,0
Other,Drama,27100.0,42600.0,66,78,99,99
Other,English Literature,197800.0,224000.0,71,83,99,99
Other,English Studies,1100.0,1000.0,37,51,98,99
Other,General Studies,2500.0,2400.0,38,53,89,95
Other,Health and Social Care,400.0,7400.0,31,55,90,98
Other,Hospitality and Catering,700.0,1300.0,43,66,99,100
Other,Leisure and Tourism,1100.0,1400.0,29,52,91,96
Other,Manufacturing,100.0,0.0,31,29,98,93
Other,Media/Film/TV,24100.0,24600.0,56,76,98,99
Other,Media: Communication and Production,NA,NA,NA,NA,NA,NA
Other,Music,20700.0,20600.0,74,79,99,99
Other,Performing Arts,900.0,2100.0,47,67,97,99
Other,Physical Education,60900.0,40700.0,71,71,100,100
Other,Religious Studies,104900.0,124100.0,67,79,98,99
Other,Statistics,23200.0,21200.0,75,81,98,98
Other,Vocational Studies,15800.0,17100.0,53,70,98,99
